,timestamp,gender,age,language,EQ_score_raw,SQ_score_raw,EQ_score_std,SQ_score_std,D_score,E_score_raw,A_score_raw,E_score_std,A_score_std,EA_score,covid_1,covid_2,covid_3,covid_4,covid_5,covid_6,covid_7,covid_8,covid_9,covid_10,covid_11,covid_12,covid_13,covid_14,covid_15
51,2020/05/05 5:36:19 pm GMT+8,F,22,English,6.0,6.0,-0.17132867132867133,-0.04930069930069929,-0.12202797202797204,4.5,6.5,-0.4737315856517862,1.2701845631368556,-1.7439161487886419,2.0,2.0,3.0,2.0,1,2.0,3.0,Yes,Yes,Yes,Yes,Yes,No,2.0,2.0
52,2020/05/05 5:38:37 pm GMT+8,F,24,English,16.0,0.0,0.32867132867132864,-0.3493006993006993,0.6779720279720279,7.0,4.5,0.6472851384393415,0.38666016770224515,0.2606249707370964,1.0,1.0,1.0,1.0,0,4.0,2.0,Yes,Yes,No,Yes,Yes,No,1.0,1.0
53,2020/05/05 5:43:15 pm GMT+8,F,18,English,8.0,7.0,-0.07132867132867134,0.000699300699300709,-0.07202797202797205,6.25,1.25,0.31098012121200325,-1.049066974878997,1.3600470960910003,1.0,1.0,1.0,1.0,0,2.0,5.0,No,No,No,Yes,Yes,No,1.0,2.0
54,2020/05/05 5:44:43 pm GMT+8,F,22,English,16.0,10.0,0.32867132867132864,0.1506993006993007,0.17797202797202794,6.25,6.5,0.31098012121200325,1.2701845631368556,-0.9592044419248523,2.0,1.0,1.0,2.0,1,1.0,1.0,No,No,No,Yes,Yes,No,1.0,3.0
55,2020/05/05 5:52:38 pm GMT+8,F,21,English,5.0,8.0,-0.22132867132867134,0.05069930069930071,-0.2720279720279721,4.5,4.25,-0.4737315856517862,0.27621961827291885,-0.749951203924705,2.0,1.0,3.0,2.0,1,2.0,4.0,No,Yes,Yes,Yes,Yes,No,2.0,3.0
56,2020/05/05 5:52:47 pm GMT+8,F,54,English,10.0,5.0,0.028671328671328666,-0.09930069930069929,0.12797202797202795,7.25,-0.75,0.7593868108484544,-1.9325913703136075,2.691978181162062,1.0,1.0,1.0,1.0,0,2.0,5.0,No,Yes,Yes,No,Yes,No,1.0,2.0
57,2020/05/05 5:53:36 pm GMT+8,F,50,English,7.0,1.0,-0.12132867132867134,-0.2993006993006993,0.17797202797202796,1.0,0.0,-2.043154999379365,-1.6012697220256285,-0.4418852773537365,1.0,2.0,2.0,1.0,0,1.0,5.0,No,No,No,Yes,Yes,No,2.0,3.0
58,2020/05/05 5:57:46 pm GMT+8,M,23,English,12.0,5.0,0.12867132867132866,-0.09930069930069929,0.22797202797202795,5.0,3.25,-0.24952824083356062,-0.1655425794443864,-0.08398566138917421,3.0,1.0,1.0,1.0,0,3.0,2.0,No,No,Yes,Yes,Yes,No,1.0,2.0
59,2020/05/05 7:19:45 pm GMT+8,F,22,English,6.0,6.0,-0.17132867132867133,-0.04930069930069929,-0.12202797202797204,4.5,6.5,-0.4737315856517862,1.2701845631368556,-1.7439161487886419,2.0,2.0,3.0,2.0,1,2.0,3.0,Yes,Yes,Yes,Yes,Yes,No,2.0,2.0
60,2020/05/05 8:41:02 pm GMT+8,F,22,English,13.0,4.0,0.17867132867132868,-0.14930069930069928,0.32797202797202796,7.0,7.5,0.6472851384393415,1.711946760854161,-1.0646616224148193,1.0,1.0,1.0,1.0,0,1.0,4.0,No,Yes,Yes,Yes,Yes,No,2.0,3.0
61,2020/05/05 8:46:37 pm GMT+8,F,22,English,10.0,4.0,0.028671328671328666,-0.14930069930069928,0.17797202797202794,3.5,4.25,-0.9221382752882373,0.27621961827291885,-1.1983578935611563,2.0,2.0,1.0,1.0,0,3.0,5.0,No,Yes,Yes,No,Yes,No,2.0,2.0
62,2020/05/05 11:05:50 pm GMT+8,F,56,English,12.0,2.0,0.12867132867132866,-0.24930069930069929,0.37797202797202795,7.0,2.25,0.6472851384393415,-0.6073047771616916,1.2545899156010332,1.0,1.0,2.0,2.0,2,1.0,4.0,Yes,Yes,Yes,Yes,Yes,No,3.0,4.0
63,2020/05/05 11:15:12 pm GMT+8,F,31,English,10.0,8.0,0.028671328671328666,0.05069930069930071,-0.022027972027972045,7.0,6.0,0.6472851384393415,1.049303464278203,-0.40201832583886155,1.0,1.0,3.0,1.0,0,3.0,5.0,No,Yes,Yes,No,Yes,No,2.0,2.0
64,2020/05/06 2:17:44 am GMT+8,M,23,English,7.0,2.0,-0.12132867132867134,-0.24930069930069929,0.12797202797202795,5.75,0.5,0.0867767763937777,-1.3803886231669757,1.4671653995607534,2.0,1.0,1.0,1.0,0,3.0,4.0,No,No,Yes,Yes,Yes,No,1.0,3.0
65,2020/05/06 2:49:43 am GMT+8,M,21,English,10.0,6.0,0.028671328671328666,-0.04930069930069929,0.07797202797202796,5.5,0.25,-0.025324896015335066,-1.490829172596302,1.465504276580967,1.0,3.0,2.0,1.0,0,3.0,3.0,Yes,Yes,Yes,Yes,Yes,No,2.0,3.0
66,2020/05/06 4:37:10 am GMT+8,M,28,English,8.0,10.0,-0.07132867132867134,0.1506993006993007,-0.22202797202797203,6.0,2.5,0.1988784488028905,-0.4968642277323653,0.6957426765352558,2.0,1.0,3.0,2.0,1,3.0,4.0,No,No,No,No,Yes,Yes,2.0,2.0
67,2020/05/06 4:38:13 am GMT+8,F,30,English,7.0,15.0,-0.12132867132867134,0.40069930069930065,-0.522027972027972,5.0,3.0,-0.24952824083356062,-0.27598312887371274,0.026454888040152114,2.0,1.0,2.0,1.0,1,2.0,4.0,No,Yes,Yes,No,Yes,No,3.0,3.0
68,2020/05/06 4:40:47 am GMT+8,F,30,English,7.0,10.0,-0.12132867132867134,0.1506993006993007,-0.272027972027972,-0.75,4.75,-2.8278667062431544,0.49710071713157145,-3.324967423374726,1.0,1.0,1.0,1.0,1,3.0,5.0,Yes,Yes,Yes,Yes,Yes,No,2.0,2.0
69,2020/05/06 4:42:02 am GMT+8,M,59,English,12.0,5.0,0.12867132867132866,-0.09930069930069929,0.22797202797202795,6.0,1.0,0.1988784488028905,-1.1595075243083233,1.3583859731112138,2.0,2.0,3.0,1.0,0,2.0,5.0,No,Yes,Yes,No,Yes,No,2.0,2.0
70,2020/05/06 4:46:09 am GMT+8,M,28,English,2.0,8.0,-0.3713286713286713,0.05069930069930071,-0.42202797202797204,6.25,2.25,0.31098012121200325,-0.6073047771616916,0.9182848983736949,3.0,2.0,3.0,1.0,0,3.0,5.0,No,No,No,Yes,Yes,No,2.0,3.0
71,2020/05/06 4:50:49 am GMT+8,F,31,English,11.0,4.0,0.07867132867132867,-0.14930069930069928,0.22797202797202795,7.5,4.75,0.8714884832575671,0.49710071713157145,0.37438776612599567,1.0,1.0,1.0,1.0,0,2.0,5.0,No,Yes,Yes,Yes,Yes,No,1.0,1.0
72,2020/05/06 4:50:58 am GMT+8,F,29,English,13.0,6.0,0.17867132867132868,-0.04930069930069929,0.22797202797202798,5.75,4.75,0.0867767763937777,0.49710071713157145,-0.41032394073779377,2.0,2.0,3.0,1.0,0,2.0,5.0,Yes,Yes,Yes,Yes,Yes,No,2.0,2.0
73,2020/05/06 4:52:30 am GMT+8,M,28,English,5.0,6.0,-0.22132867132867134,-0.04930069930069929,-0.17202797202797204,3.75,1.0,-0.8100366028791245,-1.1595075243083233,0.3494709214291988,2.0,1.0,2.0,1.0,0,2.0,5.0,No,No,No,Yes,Yes,No,2.0,2.0
74,2020/05/06 4:53:02 am GMT+8,F,33,English,7.0,13.0,-0.12132867132867134,0.30069930069930073,-0.42202797202797204,6.5,3.25,0.42308179362111603,-0.1655425794443864,0.5886243730655024,1.0,1.0,1.0,1.0,0,4.0,5.0,No,Yes,Yes,No,Yes,No,1.0,1.0
75,2020/05/06 5:24:51 am GMT+8,F,30,English,13.0,7.0,0.17867132867132868,0.000699300699300709,0.17797202797202796,8.0,6.0,1.0956918280757928,1.049303464278203,0.046388363797589705,1.0,1.0,1.0,1.0,0,1.0,4.0,No,No,No,No,Yes,Yes,1.0,2.0
76,2020/05/06 5:30:58 am GMT+8,M,28,English,9.0,3.0,-0.021328671328671334,-0.1993006993006993,0.17797202797202796,4.25,5.25,-0.5858332580608989,0.7179818159902241,-1.3038150740511232,2.0,2.0,2.0,2.0,0,2.0,4.0,No,No,No,No,Yes,Yes,2.0,2.0
77,2020/05/06 5:34:14 am GMT+8,F,27,English,13.0,13.0,0.17867132867132868,0.30069930069930073,-0.12202797202797205,6.25,3.5,0.31098012121200325,-0.055102030015060095,0.36608215122706333,3.0,1.0,2.0,1.0,0,1.0,5.0,Yes,Yes,Yes,Yes,Yes,No,3.0,4.0
78,2020/05/06 6:05:03 am GMT+8,F,29,English,11.0,10.0,0.07867132867132867,0.1506993006993007,-0.07202797202797204,6.75,5.25,0.5351834660302288,0.7179818159902241,-0.18279834995999533,1.0,2.0,1.0,1.0,0,2.0,5.0,Yes,Yes,Yes,Yes,Yes,No,1.0,2.0
79,2020/05/06 6:28:35 am GMT+8,F,32,English,8.0,6.0,-0.07132867132867134,-0.04930069930069929,-0.022027972027972048,7.5,2.25,0.8714884832575671,-0.6073047771616916,1.4787932604192586,1.0,1.0,2.0,1.0,0,2.0,5.0,No,No,No,No,Yes,No,1.0,2.0
80,2020/05/06 6:39:41 am GMT+8,M,37,English,4.0,11.0,-0.27132867132867133,0.2006993006993007,-0.47202797202797203,8.0,7.25,1.0956918280757928,1.6015062114248346,-0.5058143833490418,1.0,1.0,1.0,1.0,2,1.0,5.0,Yes,Yes,Yes,No,Yes,No,1.0,2.0
81,2020/05/06 7:06:41 am GMT+8,M,30,English,11.0,9.0,0.07867132867132867,0.1006993006993007,-0.022027972027972034,-1.5,2.25,-3.164171723470493,-0.6073047771616916,-2.5568669463088014,1.0,1.0,1.0,2.0,1,1.0,5.0,No,No,Yes,No,Yes,No,1.0,1.0
82,2020/05/06 11:00:05 am GMT+8,M,54,English,8.0,3.0,-0.07132867132867134,-0.1993006993006993,0.12797202797202795,7.5,6.25,0.8714884832575671,1.1597440137075294,-0.2882555304499623,1.0,2.0,2.0,2.0,3,1.0,2.0,Yes,Yes,No,No,Yes,No,1.0,4.0
83,2020/05/06 12:43:48 pm GMT+8,F,28,English,11.0,6.0,0.07867132867132867,-0.04930069930069929,0.12797202797202795,8.5,6.5,1.3198951728940183,1.2701845631368556,0.04971060975716268,1.0,1.0,2.0,1.0,1,2.0,5.0,No,Yes,Yes,No,Yes,No,1.0,1.0
84,2020/05/06 3:44:46 pm GMT+8,M,28,English,9.0,3.0,-0.021328671328671334,-0.1993006993006993,0.17797202797202796,6.5,5.5,0.42308179362111603,0.8284223654195504,-0.40534057179843436,1.0,1.0,2.0,1.0,1,1.0,5.0,No,No,No,Yes,Yes,No,1.0,2.0
85,2020/05/06 3:57:59 pm GMT+8,F,34,English,17.0,5.0,0.3786713286713287,-0.09930069930069929,0.477972027972028,8.0,-0.25,1.0956918280757928,-1.7117102714549548,2.807402099530748,2.0,1.0,4.0,1.0,0,3.0,5.0,No,Yes,No,Yes,Yes,No,1.0,4.0
