,timestamp,gender,age,language,EQ_score_raw,SQ_score_raw,EQ_score_std,SQ_score_std,D_score,E_score_raw,A_score_raw,E_score_std,A_score_std,EA_score,covid_1,covid_2,covid_3,covid_4,covid_5,covid_6,covid_7,covid_8,covid_9,covid_10,covid_11,covid_12,covid_13,covid_14,covid_15
71,2020/05/06 4:50:49 am GMT+8,F,31,English,4.0,9.0,-0.043006993006993,0.08706293706293708,-0.13006993006993006,7.5,4.75,0.8714884832575671,0.49710071713157145,0.37438776612599567,2.0,1.0,1.0,1.0,0,2.0,5.0,No,Yes,Yes,Yes,Yes,No,1.0,1.0
72,2020/05/06 4:50:58 am GMT+8,F,29,English,1.0,6.0,-0.193006993006993,-0.06293706293706292,-0.1300699300699301,5.75,4.75,0.0867767763937777,0.49710071713157145,-0.41032394073779377,1.0,2.0,3.0,1.0,0,2.0,5.0,Yes,Yes,Yes,Yes,Yes,No,2.0,2.0
73,2020/05/06 4:52:30 am GMT+8,M,28,English,5.0,3.0,0.006993006993007001,-0.2129370629370629,0.21993006993006992,3.75,1.0,-0.8100366028791245,-1.1595075243083233,0.3494709214291988,1.0,1.0,2.0,1.0,0,2.0,5.0,No,No,No,Yes,Yes,No,2.0,2.0
74,2020/05/06 4:53:02 am GMT+8,F,33,English,7.0,5.0,0.106993006993007,-0.11293706293706292,0.21993006993006992,6.5,3.25,0.42308179362111603,-0.1655425794443864,0.5886243730655024,2.0,1.0,1.0,1.0,0,4.0,5.0,No,Yes,Yes,No,Yes,No,1.0,1.0
75,2020/05/06 5:24:51 am GMT+8,F,30,English,3.0,11.0,-0.093006993006993,0.18706293706293708,-0.2800699300699301,8.0,6.0,1.0956918280757928,1.049303464278203,0.046388363797589705,2.0,1.0,1.0,1.0,0,1.0,4.0,No,No,No,No,Yes,Yes,1.0,2.0
76,2020/05/06 5:30:58 am GMT+8,M,28,English,2.0,7.0,-0.143006993006993,-0.012937062937062916,-0.13006993006993006,4.25,5.25,-0.5858332580608989,0.7179818159902241,-1.3038150740511232,1.0,2.0,2.0,2.0,0,2.0,4.0,No,No,No,No,Yes,Yes,2.0,2.0
77,2020/05/06 5:34:14 am GMT+8,F,27,English,2.0,3.0,-0.143006993006993,-0.2129370629370629,0.06993006993006992,6.25,3.5,0.31098012121200325,-0.055102030015060095,0.36608215122706333,0.0,1.0,2.0,1.0,0,1.0,5.0,Yes,Yes,Yes,Yes,Yes,No,3.0,4.0
78,2020/05/06 6:05:03 am GMT+8,F,29,English,1.0,6.0,-0.193006993006993,-0.06293706293706292,-0.1300699300699301,6.75,5.25,0.5351834660302288,0.7179818159902241,-0.18279834995999533,2.0,2.0,1.0,1.0,0,2.0,5.0,Yes,Yes,Yes,Yes,Yes,No,1.0,2.0
79,2020/05/06 6:28:35 am GMT+8,F,32,English,2.0,5.0,-0.143006993006993,-0.11293706293706292,-0.03006993006993007,7.5,2.25,0.8714884832575671,-0.6073047771616916,1.4787932604192586,2.0,1.0,2.0,1.0,0,2.0,5.0,No,No,No,No,Yes,No,1.0,2.0
80,2020/05/06 6:39:41 am GMT+8,M,37,English,7.0,8.0,0.106993006993007,0.03706293706293708,0.06993006993006992,8.0,7.25,1.0956918280757928,1.6015062114248346,-0.5058143833490418,2.0,1.0,1.0,1.0,3-5,1.0,5.0,Yes,Yes,Yes,No,Yes,No,1.0,2.0
81,2020/05/06 7:06:41 am GMT+8,M,30,English,10.0,7.0,0.256993006993007,-0.012937062937062916,0.2699300699300699,-1.5,2.25,-3.164171723470493,-0.6073047771616916,-2.5568669463088014,2.0,1.0,1.0,2.0,1-2,1.0,5.0,No,No,Yes,No,Yes,No,1.0,1.0
82,2020/05/06 11:00:05 am GMT+8,M,54,English,8.0,12.0,0.156993006993007,0.23706293706293707,-0.08006993006993007,7.5,6.25,0.8714884832575671,1.1597440137075294,-0.2882555304499623,2.0,2.0,2.0,2.0,5-10,1.0,2.0,Yes,Yes,No,No,Yes,No,1.0,4.0
83,2020/05/06 12:43:48 pm GMT+8,F,28,English,3.0,5.0,-0.093006993006993,-0.11293706293706292,0.01993006993006992,8.5,6.5,1.3198951728940183,1.2701845631368556,0.04971060975716268,2.0,1.0,2.0,1.0,1-2,2.0,5.0,No,Yes,Yes,No,Yes,No,1.0,1.0
84,2020/05/06 3:44:46 pm GMT+8,M,28,English,5.0,6.0,0.006993006993007001,-0.06293706293706292,0.06993006993006992,6.5,5.5,0.42308179362111603,0.8284223654195504,-0.40534057179843436,2.0,1.0,2.0,1.0,1-2,1.0,5.0,No,No,No,Yes,Yes,No,1.0,2.0
